carbon_source,ci_75th_lower,ci_75th_upper,ci_95th_lower,ci_95th_upper,compound_turnover,level,mean_val,median_val,parameter,strain
acetate,-0.0032080675,0.0015671387499999999,-0.00504290875,0.003391031749999999,acetate,calibration,-0.0008383782796001591,-0.0008505100000000001,calib_inter,REL606
acetate,0.00346114875,0.006268883750000001,0.00292735875,0.008477671749999994,acetate,calibration,0.004854730623678646,0.00459769,calib_sigma,REL606
acetate,0.007181055,0.007500055,0.0070506285,0.0076233264999999995,acetate,calibration,0.007341469207188173,0.0073427,calib_slope,REL606
acetate,31.572775,32.69665,31.130007499999998,33.193664999999996,acetate,hyperparameter,32.13519418604648,32.1232,yield_inter,REL606
acetate,-24.7608375,-21.901449999999997,-26.2831975,-20.791635000000003,acetate,hyperparameter,-23.354774085623728,-23.336,yield_slope,REL606
acetate,31.633925,32.7374125,31.1956,33.2294,acetate,replicate 1,32.1779828531782,32.1594,yield_inter,REL606
acetate,-24.72135,-21.9608875,-25.91544,-20.916835000000003,acetate,replicate 1,-23.352853601163023,-23.3205,yield_slope,REL606
acetate,31.549,32.65025,31.127699999999997,33.116,acetate,replicate 2,32.10167325888695,32.10145,yield_inter,REL606
acetate,-24.72135,-21.9608875,-25.91544,-20.916835000000003,acetate,replicate 2,-23.35272997885564,-23.320349999999998,yield_slope,REL606
acetate,31.598625,32.700824999999995,31.177800000000005,33.1941,acetate,replicate 3,32.15238683845408,32.1455,yield_inter,REL606
acetate,-24.7213,-21.960925,-25.915419999999997,-20.91693,acetate,replicate 3,-23.352763039312933,-23.3205,yield_slope,REL606
acetate,31.5332125,32.652812499999996,31.1055,33.1221,acetate,replicate 4,32.0911552728953,32.083749999999995,yield_inter,REL606
acetate,-24.72135,-21.9608875,-25.91544,-20.916835000000003,acetate,replicate 4,-23.35276763578705,-23.3205,yield_slope,REL606
glucose,-0.00336039875,0.001296375,-0.005515487,0.003162634250000001,acetate,calibration,-0.001030988923933837,-0.0009481755000000001,calib_inter,REL606
glucose,0.0034617874999999998,0.0062736962499999995,0.00292589075,0.008390563750000002,acetate,calibration,0.004811574215538857,0.00455051,calib_sigma,REL606
glucose,0.00718509125,0.0075145725,0.007055641499999999,0.007663263500000001,acetate,calibration,0.007354489132832071,0.00735742,calib_slope,REL606
glucose,-0.100125625,0.649910875,-0.35953809999999997,1.712952500000001,acetate,hyperparameter,0.32949850748872145,0.2228465,yield_inter,REL606
glucose,2.03154625,2.8531537499999997,1.567758,3.4000222500000006,acetate,hyperparameter,2.4368110840350803,2.432985,yield_slope,REL606
glucose,-0.185566,0.447604,-0.44721120000000003,0.7394487999999995,acetate,replicate 1,0.13313907317089987,0.124827,yield_inter,REL606
glucose,2.0969,2.76694,1.835454,3.0513879999999998,acetate,replicate 1,2.434549213885867,2.42956,yield_slope,REL606
glucose,-0.223286,0.418364,-0.4786636,0.7016337999999923,acetate,replicate 2,0.09674117251683553,0.0898404,yield_inter,REL606
glucose,2.0969,2.76694,1.835454,3.0513879999999998,acetate,replicate 2,2.434549213885867,2.42956,yield_slope,REL606
glucose,-0.229719,0.410138,-0.4979652000000001,0.6936963999999983,acetate,replicate 3,0.08853313412647658,0.0793001,yield_inter,REL606
glucose,2.0969,2.76694,1.835454,3.0513879999999998,acetate,replicate 3,2.434549213885867,2.42956,yield_slope,REL606
glucose,-0.00781156,0.02987815,-0.023808340000000004,0.04581645999999999,glucose,calibration,0.010784715168248348,0.0104228,calib_inter,REL606
glucose,0.03102725,0.054418499999999995,0.02657629,0.06992520999999999,glucose,calibration,0.04214631959009849,0.040185,calib_sigma,REL606
glucose,0.06058575,0.0631967,0.0593585,0.06433279,glucose,calibration,0.061904225605536475,0.0619322,calib_slope,REL606
glucose,9.87254,10.97395,8.972584,11.62807,glucose,hyperparameter,10.412236944370507,10.4374,yield_inter,REL606
glucose,-5.550825,-3.306285,-6.503699999999999,-2.3052540000000006,glucose,hyperparameter,-4.430749239526222,-4.45144,yield_slope,REL606
glucose,9.79993,10.5233,9.5204075,10.76885,glucose,replicate 1,10.16076891668884,10.1633,yield_inter,REL606
glucose,-5.72184,-3.21316,-6.700950000000001,-2.3735075,glucose,replicate 1,-4.441643507053503,-4.38726,yield_slope,REL606
glucose,10.0081,10.7082,9.744045,10.9505,glucose,replicate 2,10.355863375033373,10.3537,yield_inter,REL606
glucose,-5.72184,-3.21316,-6.700950000000001,-2.3735075,glucose,replicate 2,-4.441643507053503,-4.38726,yield_slope,REL606
glucose,10.4376,11.241,10.193525000000001,11.5085,glucose,replicate 3,10.840787386212504,10.8374,yield_inter,REL606
glucose,-5.72184,-3.21316,-6.700950000000001,-2.3735075,glucose,replicate 3,-4.441643507053503,-4.38726,yield_slope,REL606
