elapsed_time_hr,od_600nm,replicate,strain,medium_base,carbon_source,date
0.0,0.039,1,REL606,DM,glucose,2021-04-04
0.3,0.044,1,REL606,DM,glucose,2021-04-04
0.5666666666666667,0.057,1,REL606,DM,glucose,2021-04-04
0.7833333333333333,0.063,1,REL606,DM,glucose,2021-04-04
0.95,0.07400000000000001,1,REL606,DM,glucose,2021-04-04
1.1666666666666667,0.094,1,REL606,DM,glucose,2021-04-04
1.35,0.102,1,REL606,DM,glucose,2021-04-04
1.5166666666666666,0.113,1,REL606,DM,glucose,2021-04-04
1.7,0.127,1,REL606,DM,glucose,2021-04-04
1.85,0.153,1,REL606,DM,glucose,2021-04-04
2.0,0.16,1,REL606,DM,glucose,2021-04-04
2.1666666666666665,0.185,1,REL606,DM,glucose,2021-04-04
2.316666666666667,0.205,1,REL606,DM,glucose,2021-04-04
2.433333333333333,0.229,1,REL606,DM,glucose,2021-04-04
2.566666666666667,0.251,1,REL606,DM,glucose,2021-04-04
2.65,0.268,1,REL606,DM,glucose,2021-04-04
2.7333333333333334,0.284,1,REL606,DM,glucose,2021-04-04
2.816666666666667,0.297,1,REL606,DM,glucose,2021-04-04
2.9166666666666665,0.331,1,REL606,DM,glucose,2021-04-04
3.0,0.35200000000000004,1,REL606,DM,glucose,2021-04-04
3.1,0.38,1,REL606,DM,glucose,2021-04-04
3.1333333333333333,0.391,1,REL606,DM,glucose,2021-04-04
0.0,0.042,2,REL606,DM,glucose,2021-04-04
0.3,0.047,2,REL606,DM,glucose,2021-04-04
0.5833333333333334,0.057,2,REL606,DM,glucose,2021-04-04
0.8666666666666667,0.07400000000000001,2,REL606,DM,glucose,2021-04-04
1.0666666666666669,0.083,2,REL606,DM,glucose,2021-04-04
1.25,0.098,2,REL606,DM,glucose,2021-04-04
1.4666666666666666,0.109,2,REL606,DM,glucose,2021-04-04
1.6333333333333333,0.125,2,REL606,DM,glucose,2021-04-04
1.8166666666666669,0.153,2,REL606,DM,glucose,2021-04-04
1.9833333333333332,0.175,2,REL606,DM,glucose,2021-04-04
2.15,0.197,2,REL606,DM,glucose,2021-04-04
2.3,0.215,2,REL606,DM,glucose,2021-04-04
2.466666666666667,0.24,2,REL606,DM,glucose,2021-04-04
2.6,0.276,2,REL606,DM,glucose,2021-04-04
2.7333333333333334,0.303,2,REL606,DM,glucose,2021-04-04
2.8666666666666667,0.336,2,REL606,DM,glucose,2021-04-04
2.95,0.35600000000000004,2,REL606,DM,glucose,2021-04-04
3.033333333333333,0.377,2,REL606,DM,glucose,2021-04-04
3.1,0.404,2,REL606,DM,glucose,2021-04-04
0.0,0.041,3,REL606,DM,glucose,2021-04-04
0.2833333333333333,0.052000000000000005,3,REL606,DM,glucose,2021-04-04
0.5666666666666667,0.061,3,REL606,DM,glucose,2021-04-04
0.85,0.079,3,REL606,DM,glucose,2021-04-04
1.0666666666666669,0.092,3,REL606,DM,glucose,2021-04-04
1.25,0.103,3,REL606,DM,glucose,2021-04-04
1.45,0.123,3,REL606,DM,glucose,2021-04-04
1.6333333333333333,0.15,3,REL606,DM,glucose,2021-04-04
1.8166666666666669,0.161,3,REL606,DM,glucose,2021-04-04
1.9833333333333332,0.183,3,REL606,DM,glucose,2021-04-04
2.15,0.208,3,REL606,DM,glucose,2021-04-04
2.283333333333333,0.238,3,REL606,DM,glucose,2021-04-04
2.45,0.268,3,REL606,DM,glucose,2021-04-04
2.6,0.295,3,REL606,DM,glucose,2021-04-04
2.7333333333333334,0.337,3,REL606,DM,glucose,2021-04-04
2.85,0.366,3,REL606,DM,glucose,2021-04-04
2.95,0.395,3,REL606,DM,glucose,2021-04-04
0.0,0.047,1,REL606,,acetate,
0.4,0.06,1,REL606,,acetate,
0.8166666666666667,0.059,1,REL606,,acetate,
1.1166666666666667,0.058,1,REL606,,acetate,
2.533333333333333,0.081,1,REL606,,acetate,
3.6166666666666663,0.105,1,REL606,,acetate,
4.033333333333333,0.114,1,REL606,,acetate,
4.416666666666667,0.121,1,REL606,,acetate,
4.833333333333333,0.133,1,REL606,,acetate,
5.216666666666667,0.149,1,REL606,,acetate,
5.866666666666666,0.18,1,REL606,,acetate,
6.216666666666668,0.193,1,REL606,,acetate,
6.433333333333334,0.194,1,REL606,,acetate,
6.833333333333332,0.213,1,REL606,,acetate,
0.0,0.041,2,REL606,,acetate,
0.4,0.04,2,REL606,,acetate,
0.8166666666666667,0.045,2,REL606,,acetate,
1.1,0.05,2,REL606,,acetate,
2.5166666666666666,0.064,2,REL606,,acetate,
3.6166666666666663,0.079,2,REL606,,acetate,
4.016666666666667,0.087,2,REL606,,acetate,
4.4,0.095,2,REL606,,acetate,
4.833333333333333,0.106,2,REL606,,acetate,
5.233333333333333,0.115,2,REL606,,acetate,
5.866666666666666,0.133,2,REL606,,acetate,
6.2,0.14300000000000002,2,REL606,,acetate,
6.433333333333334,0.151,2,REL606,,acetate,
6.816666666666666,0.174,2,REL606,,acetate,
0.0,0.045,3,REL606,,acetate,
0.4,0.053,3,REL606,,acetate,
0.8166666666666667,0.055,3,REL606,,acetate,
1.1166666666666667,0.058,3,REL606,,acetate,
2.533333333333333,0.078,3,REL606,,acetate,
3.6166666666666663,0.107,3,REL606,,acetate,
4.033333333333333,0.112,3,REL606,,acetate,
4.416666666666667,0.122,3,REL606,,acetate,
4.85,0.133,3,REL606,,acetate,
5.25,0.155,3,REL606,,acetate,
5.866666666666666,0.177,3,REL606,,acetate,
6.216666666666668,0.188,3,REL606,,acetate,
6.45,0.199,3,REL606,,acetate,
6.833333333333332,0.22,3,REL606,,acetate,
0.0,0.042,4,REL606,,acetate,
0.4,0.048,4,REL606,,acetate,
0.8166666666666667,0.053,4,REL606,,acetate,
1.1,0.054000000000000006,4,REL606,,acetate,
2.5166666666666666,0.073,4,REL606,,acetate,
3.6166666666666663,0.094,4,REL606,,acetate,
4.016666666666667,0.102,4,REL606,,acetate,
4.416666666666667,0.114,4,REL606,,acetate,
4.833333333333333,0.126,4,REL606,,acetate,
5.25,0.13699999999999998,4,REL606,,acetate,
5.866666666666666,0.161,4,REL606,,acetate,
6.2,0.173,4,REL606,,acetate,
6.45,0.185,4,REL606,,acetate,
6.816666666666666,0.205,4,REL606,,acetate,
